,scan,retntion time,m/z,TIC,similarity,match_scan
67,557,5.503389039733333,594.0577,10231551.0,0.99,555
68,558,5.512237452266667,614.2964,927845.0625,0.6,485
69,560,5.536847628533334,618.8184,4811906.0,1.0,556
70,561,5.554416385866667,540.0452,1093170.75,0.95,557
71,563,5.5790617728,619.3199,8354616.0,1.0,556
72,564,5.589328282933334,594.5594,6827356.0,0.99,555
73,565,5.597356795466666,767.3687,484574.40625,0.97,560
74,567,5.622073654666666,619.8211,10019536.0,1.0,562
75,568,5.629118297333333,742.6029,436986.3125,0.48,2771
76,570,5.6540305976,736.3947,2999987.75,1.0,567
77,571,5.6759234536,613.664,2572696.25,0.98,569
78,573,5.7009023688000005,736.9946,2740395.5,1.0,567
79,574,5.722784659733334,558.295,685162.125,0.92,570
80,576,5.747886779466667,572.5793,1308686.875,0.97,573
81,577,5.769924159733334,676.3376,1165375.125,0.99,575
82,579,5.795013990133333,532.3145,2180115.25,1.0,576
83,580,5.8170406112,554.2643,2441011.5,0.99,578
84,582,5.842146748533334,633.2994,1367643.875,0.98,579
85,583,5.864196363466666,550.2834,1402885.25,0.94,581
86,585,5.888851295733334,597.5434,837975.3125,0.99,582
87,586,5.9106123048,647.4523,2703338.5,1.0,584
88,588,5.935341958666667,755.1967,1305128.625,0.4,4667
89,589,5.9572751189333335,503.8002,2605272.0,0.52,945
90,591,5.9676521504,670.8358,1328379.25,0.91,588
91,592,5.989686846666667,505.4606,924893.625,0.52,714
92,594,6.006961721333334,803.1729,621399.6875,0.98,590
93,595,6.028865430933333,677.347,850018.625,0.46,654
94,597,6.053920094933333,725.9684,4104069.75,1.0,593
95,598,6.075968857066667,551.8035,1041830.3125,0.96,591
96,600,6.1009891352,577.0646,3936482.5,0.99,596
97,601,6.1229056208,604.9746,1431994.625,0.88,594
98,603,6.147879860266666,577.5652,2684725.0,0.99,596
99,604,6.169801337866667,711.3416,1135058.625,0.92,597
100,606,6.1946197925333335,555.8149,2955925.75,0.99,602
101,607,6.216610532533333,666.7753,720610.875,0.41,626
102,609,6.2414434952,599.3166,1143652.0,0.93,605
103,610,6.263395654133333,658.5629,3830318.75,0.23,2121
104,612,6.2880518888,503.244,1237564.5,0.66,609
105,613,6.297810098133334,511.8882,1386120.5,0.35,424
106,614,6.313706170666666,698.6124,657453.75,0.45,1387
107,616,6.338437280533333,569.5107,2862716.75,0.99,608
108,617,6.360374522133333,711.8865,1007806.8125,0.91,612
109,619,6.3851498248,570.1122,1186953.125,0.89,611
110,620,6.4070509448,827.9055,571539.125,0.97,614
111,622,6.4319702525333335,662.5248,596853.5625,0.78,615
112,623,6.454005159199999,580.7952,907726.0625,0.57,1066
113,625,6.478828938933333,595.1212,2167961.5,0.96,617
114,626,6.500856786133334,743.6481,498935.125,0.99,620
115,628,6.5258609664,659.0703,1100629.625,0.99,623
116,629,6.547938961866667,527.2578,961791.5625,0.25,1549
117,631,6.5726678056,533.2874,2301479.25,0.4,603
118,632,6.5946233698666665,639.7426,1682436.875,0.96,630
119,634,6.619485747466666,666.1512,746936.125,0.67,626
120,635,6.641570361333334,679.8695,1030643.25,0.97,629
121,637,6.666562194666667,587.6938,1573227.75,0.93,633
122,638,6.688704755200001,684.5983,924957.625,0.94,632
123,640,6.713695527466667,734.1132,265671.09375,0.29,1037
124,641,6.735860045866667,704.9742,786401.5,0.78,2137
125,643,6.7606545871999995,591.3072,1939153.25,0.57,641
126,644,6.782635631733333,621.2987,1438187.0,0.98,638
127,646,6.8074035264,591.8112,1775950.5,0.98,641
128,647,6.8293861192,681.0111,1583002.25,0.39,1968
129,649,6.854212478933333,637.1105,3461147.0,1.0,645
130,650,6.876276412266666,509.8901,3758429.0,0.51,525
131,652,6.8886225301333335,679.3593,3524777.25,0.76,648
132,653,6.9107077312000005,792.0279,423759.625,0.56,2136
133,655,6.935586347466667,543.8893,1756293.75,0.95,647
134,656,6.957504209866667,830.9251,4426321.0,0.75,653
135,658,6.9791372968,712.5079,5289474.0,0.33,4597
136,659,6.993190114666667,678.1984,1992536.625,0.98,654
137,661,7.014630116533334,996.9143,823058.9375,0.58,2966
138,662,7.033322543466666,831.4295,2054945.75,0.97,653
139,663,7.041984262666667,813.6404,1007715.25,0.85,651
140,665,7.0667404951999995,841.4233,632630.75,0.98,657
141,666,7.083343247466667,850.6533,297557.5625,0.89,658
142,668,7.108129835733333,787.4173,512589.71875,0.51,5908
143,669,7.130202798933333,516.5335,662191.125,0.91,660
144,671,7.143991553866667,875.6425,1762325.75,0.44,5221
145,672,7.1659139527999995,537.5352,1726226.875,0.92,663
146,674,7.190510913333333,502.668,31819472.0,1.0,667
147,675,7.194863344,628.3329,5037412.5,1.0,666
148,676,7.216579065866667,523.0782,24396556.0,1.0,668
149,678,7.2247346416,653.5952,19636726.0,1.0,670
150,679,7.229366536,574.4986,4493776.5,1.0,671
151,680,7.251127122933334,548.69,2219132.25,0.89,664
152,682,7.275756281866666,717.8704,10412475.0,1.0,674
153,683,7.282962746133333,575.0999,6522636.0,1.0,678
154,684,7.296960958666667,523.6792,14732769.0,0.98,676
155,685,7.2990874992,685.6094,829459.5625,0.61,635
156,687,7.3237432112,593.9119,1887124.125,0.94,679
157,688,7.345660666666666,799.8685,547007.125,0.61,2405
158,690,7.370390951733333,965.6936,3847244.0,0.99,684
159,691,7.3874824176,810.9999,497940.625,0.84,685
160,693,7.410883414133334,951.1861,609555.5,0.87,687
161,694,7.432856262666666,1043.7208,616355.9375,0.9,688
162,696,7.457435884000001,828.0959,61607116.0,0.97,695
163,697,7.461792242933333,709.9404,31752216.0,0.98,701
164,698,7.4663988152,993.5145,25398016.0,0.97,702
165,699,7.4714700136,671.0752,3016344.0,0.98,691
166,700,7.479445655466667,809.0919,1744907.5,0.56,1677
167,702,7.49007846,710.5135,240149728.0,1.0,701
168,703,7.494422104533333,829.0992,385874816.0,0.99,695
169,704,7.496952325600001,621.8254,52271320.0,1.0,697
170,705,7.499774005066667,1241.8921,10214506.0,0.99,696
171,706,7.5029858112,857.2634,6096675.0,0.95,711
172,707,7.5115807173333335,552.4003,3324923.75,0.95,708
173,709,7.536172648266667,994.1155,106969808.0,0.98,694
174,710,7.5405097085333335,707.5118,1280655.125,0.43,3974
175,711,7.562119046133334,820.9291,2065674.0,0.25,4309
176,713,7.579126423733333,994.7164,45424580.0,0.6,3042
177,714,7.583469032,694.9345,2139912.0,0.95,707
178,715,7.5989775104,1242.3932,1488288.25,0.98,696
179,716,7.6061693543999995,618.9473,1724303.75,0.53,699
180,718,7.630860446133334,673.3479,2106804.0,1.0,710
181,719,7.651475662933334,538.7864,4366828.0,1.0,713
182,721,7.676140410933333,506.5249,2127871.25,0.96,714
183,722,7.680488208533333,873.7406,1444201.375,0.99,715
184,723,7.7023422872,649.5881,1034678.875,0.44,2824
185,725,7.727108602666666,546.2875,2156189.5,0.81,717
186,726,7.749135846933333,520.0729,1100462.75,0.91,718
187,728,7.761423843466667,655.1962,11397002.0,1.0,720
188,729,7.770951765066667,786.0333,4262818.5,1.0,721
189,730,7.7801722456,561.7409,2153179.5,1.0,725
190,732,7.804959968266667,655.6968,5137290.5,0.97,724
191,733,7.815917707733333,705.2186,1482436.0,0.9,728
192,735,7.84078472,728.0461,1227470.5,0.96,727
193,736,7.862897474933334,846.0606,457581.0625,0.47,4232
194,738,7.887818309866666,823.7646,1410285.5,0.94,734
195,739,7.9100972976,927.6243,187967.0,0.88,730
196,741,7.9347696544,706.0853,1560645.875,0.96,733
197,742,7.956687881333334,648.1096,519584.65625,0.52,584
198,744,7.981626395733333,633.2053,8117413.5,0.99,736
199,745,7.993198009333333,738.5711,4622285.5,1.0,737
200,746,7.999489353066666,886.0844,1022557.1875,0.43,6010
201,748,8.017136688266667,554.1796,1542165.375,0.95,739
202,749,8.039212314933334,532.6915,1775337.375,0.96,742
203,751,8.064074089333333,908.4317,811871.125,0.38,5191
204,752,8.084042295733333,559.5201,1406334.75,0.97,743
205,754,8.108767498933334,666.594,1346748.125,0.97,745
206,755,8.130855938933333,525.7919,1003105.3125,0.96,746
207,757,8.155563658933334,604.3364,1576508.625,0.97,749
208,758,8.177614636,597.4995,1710381.25,0.63,582
209,760,8.2022424856,584.1216,5811041.5,1.0,748
210,761,8.222386600266667,729.8986,8365015.0,1.0,751
211,763,8.2365516872,715.5683,13689022.0,0.99,752
212,764,8.242650883733333,584.7227,10229946.0,1.0,754
213,765,8.2531033536,893.9581,6723605.0,1.0,753
214,766,8.257433826933333,691.9628,8898827.0,0.98,756
215,768,8.270729089866666,716.1692,15412086.0,0.95,764
216,769,8.2797636144,780.6698,2281005.25,0.86,757
217,770,8.292187610666666,690.3819,3000219.5,0.14,1543
218,772,8.315420174933333,572.717,4218610.5,1.0,761
219,773,8.336211500533333,587.0531,2892046.75,1.0,768
220,775,8.360814942400001,573.3184,39498800.0,1.0,765
221,776,8.365157481333334,879.7027,38283756.0,1.0,766
222,777,8.3688893688,704.164,27720578.0,1.0,767
223,778,8.373802646133333,766.4145,10374261.0,0.98,771
224,779,8.381966290133333,513.0433,5961242.0,1.0,777
225,780,8.387114001333334,716.8969,81746984.0,0.98,764
226,782,8.39266678,880.7043,63162604.0,0.99,766
227,783,8.397005708,550.2999,1779112.0,0.96,773
228,784,8.418759589066667,806.9278,4639851.5,1.0,772
229,786,8.429629406933334,767.4163,12665112.0,0.99,776
230,787,8.433973997066667,881.2057,42153160.0,0.98,775
231,788,8.436774178133334,1336.4399,1150939.25,0.97,778
232,789,8.4547929688,538.0444,1186514.0,0.57,636
233,791,8.479443056533333,581.1234,3450105.5,0.99,784
234,792,8.501364381333333,773.588,1059432.375,0.31,4942
235,794,8.5260596712,575.5207,2369787.0,1.0,785
236,795,8.548083871733333,795.6492,408091.46875,0.47,682
237,797,8.5728695112,507.2625,40823168.0,1.0,791
238,798,8.5772158488,712.1686,1324428.375,0.96,787
239,799,8.599292192533333,889.9589,494343.78125,0.99,792
240,801,8.623917384533334,700.991,3582438.0,0.97,800
241,802,8.645816909866666,752.79,1721545.875,0.97,790
242,804,8.663928680266668,609.9305,11138736.0,1.0,796
243,805,8.674929302133334,741.3775,9489443.0,0.99,794
244,806,8.679544826933332,762.1614,11663050.0,0.99,798
245,807,8.685334474133333,926.4706,5455882.0,1.0,805
246,808,8.6900254432,952.7286,5018788.0,1.0,799
247,810,8.701529957866667,610.5316,13124695.0,1.0,796
248,811,8.710198498399999,812.9316,1207645.125,0.98,801
249,812,8.723587808266666,508.6105,3105316.0,0.59,518
250,814,8.734140601866667,808.8231,7597759.5,1.0,808
251,815,8.746983829866668,952.226,3069873.5,1.0,799
252,816,8.756520773599998,1017.7578,496891.0,0.88,804
253,818,8.773647745866667,809.4238,23195266.0,1.0,812
254,819,8.778230777333333,741.9769,2650557.5,0.98,794
255,820,8.787875854133334,1010.7773,3332777.25,0.99,816
256,822,8.8124895088,598.7262,3857074.5,1.0,815
257,823,8.8342520896,747.9048,1838547.0,0.96,819
258,825,8.852498908266666,903.8096,1081058.125,0.98,818
259,826,8.8658025664,586.0658,2458869.75,0.59,943
260,828,8.890476626666667,548.916,4979869.0,1.0,821
261,829,8.912549324,685.892,12307092.0,1.0,822
262,831,8.922963333333334,849.9518,17385496.0,1.0,830
263,832,8.927302668266666,680.1631,5012003.5,0.96,827
264,833,8.944014176,549.5179,4292977.0,1.0,825
265,835,8.968673342666667,935.9689,9464688.0,1.0,834
266,836,8.975362890933333,842.1542,2560145.25,0.92,832
267,837,8.983274308266665,850.9535,10186248.0,1.0,830
268,838,8.986652154133333,547.2844,1834409.25,0.94,828
269,840,9.011428550133333,619.5908,3110817.0,0.99,847
270,841,9.033470696266667,680.7634,1752883.5,0.93,835
271,843,9.058303621333332,753.3831,1771349.0,0.7,790
272,844,9.074652628266668,640.9305,702996.8125,0.61,837
273,846,9.099480354399999,758.9094,1301154.625,0.98,844
274,847,9.117960304533334,730.9001,1621666.0,0.97,849
275,849,9.134535393333334,898.4227,10427788.0,1.0,852
276,850,9.139686458133333,776.6683,1085304.125,0.62,846
277,851,9.154353501066668,934.4373,1121924.75,0.97,858
278,853,9.167930634133334,988.4601,4957030.0,0.93,861
279,854,9.177081538666666,898.9279,5066155.0,1.0,855
280,855,9.181757328533333,669.8267,1589311.125,0.97,856
281,857,9.2060739288,697.96,4803088.0,0.99,865
282,858,9.228209041066666,783.585,1641728.5,0.96,889
283,860,9.242230629866667,804.9422,9425330.0,0.98,864
284,861,9.2465717416,871.9516,6628014.5,1.0,867
285,862,9.252048304533334,877.3356,6911481.5,1.0,894
286,863,9.256422714133333,881.8093,7176851.5,0.99,876
287,864,9.260285482133334,1023.5582,2772055.75,0.99,895
288,865,9.268984682666666,767.9198,1998613.5,0.96,898
289,867,9.283353906666667,831.4387,1239106.25,0.91,882
290,868,9.298105408,694.8478,1207939.375,0.94,874
291,870,9.319590339733333,971.0799,1150998.125,0.99,904
292,871,9.334606036533334,1090.1583,2444495.25,0.99,948
293,873,9.356426014666665,1013.6633,2995825.5,0.99,913
294,874,9.370115144533335,743.8953,847878.125,0.93,883
295,876,9.3941309464,956.8116,2602445.5,0.98,959
296,877,9.4074039944,660.5943,769024.75,0.89,892
297,879,9.432210042933333,607.9515,2881667.75,0.88,919
298,880,9.454324604533333,904.4416,640700.5625,0.95,897
299,882,9.466551291733333,1026.2876,1540973.625,0.98,912
300,883,9.477682508,864.4536,835246.125,0.87,909
301,885,9.502469205866667,584.7014,1593448.0,0.93,918
302,886,9.524787568266667,612.8445,5308983.5,0.99,915
303,888,9.549462633066666,738.3896,1998930.25,0.98,928
304,889,9.561161979733333,590.9136,1390347.75,0.95,930
305,891,9.585936661866667,613.3478,4167062.0,1.0,910
306,892,9.600207597066666,906.4636,5368583.0,0.92,973
307,894,9.620553287733333,907.9936,19273226.0,0.93,951
308,895,9.624896287466667,537.7881,1352029.0,0.96,933
309,896,9.646835656,713.7474,869193.75,0.97,931
310,898,9.6714777528,905.8626,9830674.0,0.94,973
311,899,9.675819881866666,580.0707,2313525.25,0.99,936
312,900,9.698020821333333,1132.5775,307778.75,0.37,1818
313,902,9.722836584,888.5979,7924636.0,1.0,1069
314,903,9.727186004,1036.5305,5644676.5,0.99,1070
315,904,9.732205081066667,777.774,3290147.25,0.99,1072
316,905,9.738454710933333,691.3554,1876190.875,0.97,1073
317,907,9.763141083199999,867.6912,5483155.0,0.99,979
318,908,9.773948658933334,889.1662,1795545.375,0.99,1069
319,909,9.787098281066667,504.0424,846142.625,0.81,945
320,911,9.809165823999999,757.1479,660453.625,0.9,988
321,912,9.831501153333333,880.0265,944828.625,0.31,1022
322,914,9.847028785600001,637.3447,2139224.0,0.99,986
323,915,9.869335228533334,655.8583,1453967.25,0.83,1001
324,917,9.894083445066666,1149.4366,5124574.0,0.96,1193
325,918,9.906841841866667,832.0088,386028.21875,0.78,1040
326,920,9.931462257333333,616.3478,5979862.5,0.99,1003
327,921,9.9494979112,836.3124,2020708.875,0.37,4777
328,923,9.966711923733333,1161.8711,145392992.0,1.0,1232
329,924,9.971052461333333,1032.8859,101112904.0,1.0,1233
330,925,9.973958309866667,1327.71,71853976.0,1.0,1235
331,926,9.976467602133333,1124.6003,12512759.0,0.98,1219
332,927,9.979463871733333,929.6977,58359556.0,0.99,1263
333,928,9.981987177599999,1285.1145,7338688.5,0.93,1227
334,929,9.985030750933333,999.756,8311010.0,0.95,1220
335,930,9.988258150933332,899.881,3322588.75,0.83,1229
336,931,9.993694618933334,845.2711,15773735.0,1.0,1251
337,933,10.002743400000002,1161.3705,187869632.0,1.0,1232
338,934,10.007087319733333,1033.4425,134731328.0,1.0,1233
339,935,10.010009381333333,1548.828,1885953.5,0.72,6135
340,936,10.017036294133334,1174.1169,10552876.0,1.0,1244
341,937,10.022760205066668,932.6718,9435212.0,0.99,1123
342,938,10.0288740192,1188.4974,4732238.5,0.99,1247
343,940,10.0429476536,1328.2828,40750768.0,1.0,1235
344,941,10.0472864824,1341.7074,3348401.5,0.99,1250
345,942,10.056628529333333,930.1993,29919786.0,0.99,1263
346,943,10.0592514552,1162.873,80961112.0,1.0,1236
347,944,10.061457449866667,1043.7714,2380882.25,0.99,1254
348,946,10.085161206399999,1327.1389,19079958.0,1.0,1311
349,947,10.0895031256,1313.3629,3237165.75,0.99,1318
350,948,10.111667689866666,933.2735,1266009.0,0.91,1114
351,950,10.119681390666667,1120.5875,2208421.0,0.98,1117
352,951,10.128495064800001,1108.5878,5193539.5,0.99,1299
353,952,10.142851418133334,686.1725,1345529.875,0.68,1126
354,954,10.165034618933333,1266.816,1526387.5,0.98,1297
355,955,10.177939636533333,1195.7834,1455705.75,0.99,1159
356,957,10.199889320266667,742.8474,3028801.25,0.96,1103
357,958,10.215723761066666,807.8049,6701712.0,0.37,4088
358,959,10.225362313866666,936.7246,2253563.0,0.99,1120
359,961,10.240224024266666,718.2694,5868806.5,0.44,4532
360,962,10.253436210133334,958.4982,1105488.75,0.96,1147
361,963,10.265557663466666,923.2015,3646726.25,0.34,4729
362,965,10.276074142933334,834.4389,21036448.0,0.34,4999
363,966,10.282660172,741.7247,18921442.0,0.14,1303
364,967,10.289132107466665,953.5012,18764472.0,0.41,2833
365,968,10.295135598666667,667.6525,5656290.0,0.12,1845
366,970,10.318447480533333,1063.4808,6175259.5,0.99,1308
367,971,10.326278353866666,834.9426,24674056.0,0.34,4999
368,972,10.329489026666666,1112.0874,3871939.75,0.42,6339
369,973,10.342615583999999,787.6546,1818071.125,0.99,1171
370,975,10.365986869066667,630.3253,4209624.0,0.23,1172
371,976,10.3786137256,954.0767,9721921.0,0.39,7778
372,977,10.384161391466668,668.155,3979456.25,0.19,1638
373,979,10.404022952266667,986.9373,4789867.5,0.37,4213
374,980,10.420075634133333,540.5387,1165125.0,0.94,1138
375,982,10.4448705744,839.6835,960737.0,0.92,1061
376,983,10.461722981333333,957.2159,1079763.25,0.67,1437
377,985,10.4866222952,844.309,1359161.25,0.39,703
378,986,10.501996934933334,736.3954,783552.75,0.43,5183
379,988,10.526769638933333,1016.9908,839995.625,0.96,1320
380,989,10.542235712533333,723.3816,1578632.25,0.97,1271
381,991,10.567074959466668,886.1698,1364485.5,0.99,1284
382,992,10.585297572266667,891.8009,1095298.125,0.94,1450
383,994,10.610129456533334,711.1456,1121452.75,0.6,597
384,995,10.632566958933333,790.0496,818644.75,0.74,1555
385,997,10.657328902133335,922.241,1701303.5,0.91,1546
386,998,10.676591175733334,997.2548,3798466.0,1.0,1342
387,1000,10.698502456533333,1468.3987,1541782.0,0.99,1491
388,1001,10.707574836800001,1305.5784,1735618.25,0.98,1494
389,1002,10.716779918933334,936.1626,1809010.5,0.77,1392
390,1003,10.725327900266667,1042.293,676618.3125,0.95,1503
391,1005,10.7488802048,998.2609,978038.875,1.0,1342
392,1006,10.759567314666667,852.5823,567432.375,0.65,2636
393,1008,10.784414011466668,727.3443,850396.375,0.94,1347
394,1009,10.806912470133334,740.3605,1166609.875,0.21,1432
395,1011,10.8316987784,934.9515,665352.375,0.84,1380
396,1012,10.844381298133333,1131.2544,1619264.375,0.99,1459
397,1014,10.869206113866666,761.8437,448859.875,0.83,1362
398,1015,10.8915425192,772.5494,509404.9375,0.93,1489
399,1017,10.916378303466667,857.8542,696438.875,0.92,1458
400,1018,10.934218617333332,702.1158,1206614.75,0.98,1386
401,1020,10.9590959784,695.8722,854853.875,0.76,1480
402,1021,10.981424191999999,1001.8693,999387.0,0.99,1560
403,1023,11.0062129312,1069.9601,835719.5,0.98,1530
404,1024,11.028707499466666,1337.4495,439755.9375,0.97,1522
405,1026,11.053260401066666,525.7931,3187366.0,0.19,746
406,1027,11.075504939733333,924.9346,787630.5,0.82,1500
407,1029,11.0966983816,623.3445,3189747.75,0.99,1599
408,1030,11.1188777288,872.2789,2644105.5,0.99,1597
409,1032,11.130777357066668,557.8015,2380512.75,1.0,1398
410,1033,11.153009627733333,726.7332,1507610.375,0.98,1594
411,1035,11.169794152266666,676.0936,2250899.5,0.99,1483
412,1036,11.191932275200001,980.4717,412562.40625,0.88,1608
413,1038,11.210862415466666,1218.7583,417974.96875,0.94,1635
414,1039,11.224110678666667,1523.196,43633.34375,0.82,1639
415,1040,11.235224871466666,676.5938,704118.3125,0.86,1483
416,1042,11.259920574933334,714.639,9774750.0,1.0,1747
417,1043,11.271696909066666,816.4433,8136025.5,1.0,1750
418,1044,11.281772950933334,635.3463,3851756.0,1.0,1749
419,1046,11.306552593866666,572.0152,1788566.25,0.98,1752
420,1047,11.328936301066667,952.3536,910361.75,0.94,1753
421,1049,11.343987187200002,807.6899,1804370.5,0.9,1701
422,1050,11.3623803584,971.7853,11696441.0,1.0,1804
423,1052,11.375253473333334,1110.3278,24965802.0,1.0,1803
424,1053,11.379673593066666,835.6781,937453.0625,0.92,1636
425,1054,11.400952554933333,863.9227,3862999.75,0.99,1809
426,1056,11.420028066666667,1140.6163,4846563.5,0.19,3811
427,1057,11.432918936266667,1110.9017,19530188.0,1.0,1803
428,1058,11.4365587784,748.1497,378711.4375,0.64,1692
429,1060,11.461357372266667,744.6166,4582267.0,0.91,1656
430,1061,11.470289378666667,1018.6854,5277382.5,1.0,1858
431,1062,11.481927509866667,668.8497,1083212.0,0.92,1638
432,1064,11.5067192,666.9973,1139106.0,0.89,1845
433,1065,11.5292888696,633.9381,887705.25,0.85,1106
434,1067,11.554076234399998,1126.3203,3857174.0,1.0,1708
435,1068,11.558709627466667,736.8758,4194871.5,1.0,1687
436,1069,11.571935488266666,810.4324,1395910.25,0.35,5847
437,1071,11.5961939712,659.7513,4599568.5,1.0,1957
438,1072,11.618108284266667,779.6135,9369615.0,0.99,1962
439,1074,11.6330314128,857.2771,26486836.0,1.0,1935
440,1075,11.637373934666666,1071.5956,11266361.0,1.0,1941
441,1076,11.64423424,1224.3938,6982533.5,1.0,1942
442,1077,11.652677574133332,715.15,28562948.0,1.0,1950
443,1078,11.656325535466667,819.9153,3941642.5,0.94,1734
444,1080,11.673055788266668,968.9711,869008.875,0.84,1789
445,1081,11.691016925866668,858.6943,4591748.5,0.29,4620
446,1082,11.696021751466667,878.7767,1500046.875,0.27,6347
447,1084,11.7207901512,867.2639,498065.34375,0.82,1828
448,1085,11.737410516533334,1071.0935,2348597.5,1.0,1941
449,1087,11.7522571024,780.185,4598708.0,0.94,1810
450,1088,11.7628739856,562.5593,3338857.0,0.21,539
451,1090,11.7876493592,974.9807,2306149.5,0.74,1816
452,1091,11.798477387733334,712.9826,1510964.5,0.97,1867
453,1093,11.823258889066667,1010.8782,4708960.0,0.99,2034
454,1094,11.831810999733333,801.1603,1600906.625,0.99,1827
455,1096,11.855260212266668,707.6122,1088681.125,0.97,1776
456,1097,11.877832665333333,812.2383,290559.8125,0.56,1902
457,1099,11.902626634666666,739.8386,993307.0625,0.96,2011
458,1100,11.9251569136,681.37,413874.34375,0.49,1968
459,1102,11.949942111199999,998.6288,3579196.75,0.98,2112
460,1103,11.962571171466667,940.0627,2023086.5,0.89,2175
461,1104,11.974152224533333,912.2158,611700.4375,0.83,1887
462,1106,11.991878873333333,778.9809,2309349.5,0.96,2113
463,1107,12.004489488266668,811.2819,968158.25,0.61,4637
464,1109,12.029294997066668,991.3173,4261299.5,0.95,2206
465,1110,12.051894877866665,1494.0873,1255564.625,0.99,2073
466,1112,12.076668829066667,933.0638,3628555.75,0.94,2179
467,1113,12.0862779608,817.032,1395985.75,0.19,3245
468,1115,12.1111357288,830.5945,4335350.5,0.99,2220
469,1116,12.121318284,614.0676,3149496.0,0.99,1863
470,1118,12.1443663216,601.8119,1310880.75,0.96,1893
471,1119,12.166955672799999,766.7033,665139.125,0.86,2221
472,1121,12.1917572656,832.5897,2002998.0,0.97,2055
473,1122,12.208209347466667,614.5685,548075.1875,0.83,1857
474,1124,12.2329593248,905.6196,1481712.5,1.0,2146
475,1125,12.249847745333334,792.4175,679290.125,0.99,2136
